Building prefix dict from the default dictionary ...
Dumping model to file cache /tmp/jieba.cache
Loading model cost 0.608 seconds.
Prefix dict has been built successfully.
Using device: cuda
IN: TextClassificationModel_CNN_MHA
Test Loss: 3.8164, Train Loss: 3.9615, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1079
Test Loss: 3.8142, Train Loss: 3.9176, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1079
Test Loss: 3.5400, Train Loss: 3.8591, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1192
Test Loss: 3.1953, Train Loss: 3.3563, Test Emotion Accuracy: 0.6835, Test Feature Accuracy: 0.1838
Test Loss: 3.0752, Train Loss: 3.1954, Test Emotion Accuracy: 0.6671, Test Feature Accuracy: 0.1831
Test Loss: 3.0337, Train Loss: 3.1119, Test Emotion Accuracy: 0.7048, Test Feature Accuracy: 0.1909
Test Loss: 2.8522, Train Loss: 3.0099, Test Emotion Accuracy: 0.7708, Test Feature Accuracy: 0.3009
Test Loss: 2.6951, Train Loss: 2.8349, Test Emotion Accuracy: 0.7537, Test Feature Accuracy: 0.3463
Test Loss: 2.5837, Train Loss: 2.7203, Test Emotion Accuracy: 0.7878, Test Feature Accuracy: 0.3570
Test Loss: 2.4904, Train Loss: 2.5994, Test Emotion Accuracy: 0.8020, Test Feature Accuracy: 0.3648
Test Loss: 2.4537, Train Loss: 2.5076, Test Emotion Accuracy: 0.8084, Test Feature Accuracy: 0.3563
Test Loss: 2.3316, Train Loss: 2.4130, Test Emotion Accuracy: 0.8233, Test Feature Accuracy: 0.3882
Test Loss: 2.2709, Train Loss: 2.3289, Test Emotion Accuracy: 0.8077, Test Feature Accuracy: 0.4173
Test Loss: 2.1850, Train Loss: 2.2768, Test Emotion Accuracy: 0.8190, Test Feature Accuracy: 0.4216
Test Loss: 2.1356, Train Loss: 2.1961, Test Emotion Accuracy: 0.8169, Test Feature Accuracy: 0.4351
Test Loss: 2.0837, Train Loss: 2.1228, Test Emotion Accuracy: 0.8219, Test Feature Accuracy: 0.4386
Test Loss: 2.0544, Train Loss: 2.0781, Test Emotion Accuracy: 0.8133, Test Feature Accuracy: 0.4485
Test Loss: 2.0165, Train Loss: 2.0501, Test Emotion Accuracy: 0.8176, Test Feature Accuracy: 0.4436
